stock_id,r_squared,valid_count,invalid_count,incomplete_count
001965.SZ,0.1729,2441,1964,2
001979.SZ,0.1231,13743,993,5
002001.SZ,0.1397,30054,108,8
002002.SZ,0.3344,16730,595,4
002003.SZ,0.0912,3440,1977,3
002004.SZ,0.2914,10590,1355,4
002006.SZ,0.2662,4770,2208,3
002007.SZ,0.1002,57637,30,30
002008.SZ,0.1051,25085,136,9
002009.SZ,0.1061,13539,6783,1
002010.SZ,0.3210,6765,1895,5
002011.SZ,0.2065,4917,1852,5
002012.SZ,0.1175,8990,1387,5
002013.SZ,0.1779,25933,151,9
002014.SZ,0.2750,10419,1757,5
002015.SZ,0.2558,11705,1755,5
002016.SZ,0.2067,6317,2163,4
002017.SZ,0.0893,13519,706,11
002019.SZ,0.1341,24312,298,10
002020.SZ,0.2804,18610,796,4
002022.SZ,0.1141,16991,559,5
002023.SZ,0.1351,19878,379,5
002024.SZ,0.2411,23101,121,9
002025.SZ,0.1864,19333,614,7
002026.SZ,0.0701,15275,1197,6
002027.SZ,0.2515,30775,126,9
002028.SZ,0.1495,30466,211,9
002029.SZ,0.0633,1964,1807,1
002030.SZ,0.1080,73877,22,50
002031.SZ,0.2335,7552,1568,8
002032.SZ,0.3244,8715,1642,4
002033.SZ,0.0306,8118,1797,4
002034.SZ,0.2609,7778,1630,3
002035.SZ,0.2340,20314,879,4
002036.SZ,0.1536,14620,587,6
002037.SZ,0.2003,4560,2458,1
002038.SZ,0.0796,12596,1054,6
002039.SZ,0.2943,2219,2059,4
002040.SZ,-0.0662,6055,1800,8
002041.SZ,0.0889,43939,27,41
002042.SZ,0.2865,4056,2117,3
002043.SZ,0.1210,18950,580,7
002044.SZ,0.1821,20815,610,6
002045.SZ,0.1833,6759,1765,3
002046.SZ,0.0850,21433,515,12
002047.SZ,0.1737,4838,2011,3
002048.SZ,0.0666,20430,345,11
002049.SZ,0.0878,60287,11,45
002050.SZ,0.1428,28714,123,7
002051.SZ,0.2492,4058,2065,12
002053.SZ,0.0265,2306,2087,3
002054.SZ,0.1453,7462,2175,5
002055.SZ,0.1785,10784,1467,6
002056.SZ,0.1537,17214,438,5
002057.SZ,0.1723,16969,578,7
002058.SZ,0.1001,1069,1434,3
002059.SZ,0.0177,4494,1988,3
002060.SZ,0.0107,4090,1902,4
002061.SZ,0.1614,13138,1437,8
002062.SZ,0.1382,14423,917,8
002063.SZ,0.0643,12609,764,7
